Defectors,Cooperators,%Defectors,%Cooperators,Avg Fit,Max Fit
1859,141,92.95,7.049999999999999,0.08642503492071302,0.32638888888888884
1838,162,91.9,8.1,0.08613992723885981,0.32191780821917804
1829,171,91.45,8.55,0.08622862441427574,0.31756756756756754
1825,175,91.25,8.75,0.08630331477350213,0.31333333333333335
1842,158,92.10000000000001,7.9,0.0862253301419906,0.3092105263157895
1867,133,93.35,6.65,0.08602517218038307,0.3090909090909091
1869,131,93.45,6.550000000000001,0.08575655405149049,0.30512820512820515
1884,116,94.19999999999999,5.800000000000001,0.08540827243676051,0.3012658227848101
1896,104,94.8,5.2,0.08490003020228908,0.2975
1913,87,95.65,4.35,0.08430898687993911,0.2938271604938271
1926,74,96.3,3.6999999999999997,0.0837722513767469,0.29024390243902437
1939,61,96.95,3.05,0.08311912592392133,0.2867469879518072
1936,64,96.8,3.2,0.08252444487051519,0.2869047619047619
1926,74,96.3,3.6999999999999997,0.0819339821411125,0.28705882352941176
1924,76,96.2,3.8,0.0814947755579389,0.2872093023255814
1926,74,96.3,3.6999999999999997,0.08098626675200048,0.28735632183908044
1921,79,96.05,3.95,0.08052139383848626,0.28750000000000003
1919,81,95.95,4.05,0.08020094565236717,0.28764044943820233
1910,90,95.5,4.5,0.07981305978907512,0.2822222222222223
1896,104,94.8,5.2,0.07943750821406112,0.2824175824175825
1901,99,95.05,4.95,0.07915522415672265,0.282608695652174
1896,104,94.8,5.2,0.07887106269688336,0.2827956989247313
1901,99,95.05,4.95,0.07855366242843913,0.2829787234042554
1901,99,95.05,4.95,0.07826026874700304,0.2831578947368422
1903,97,95.15,4.8500000000000005,0.07796401017690173,0.2864583333333334
1882,118,94.1,5.8999999999999995,0.07768823703810195,0.2896907216494846
1880,120,94.0,6.0,0.07757618479147003,0.2908163265306123
1888,112,94.39999999999999,5.6000000000000005,0.07741117139302492,0.2888888888888889
1891,109,94.55,5.45,0.07711889173149022,0.28600000000000003
1876,124,93.8,6.2,0.07684459019257182,0.28613861386138617
1875,125,93.75,6.25,0.07674921774522828,0.2862745098039216
1869,131,93.45,6.550000000000001,0.07660060151813539,0.2844660194174758
1884,116,94.19999999999999,5.800000000000001,0.07643065156249254,0.2846153846153847
1883,117,94.15,5.8500000000000005,0.07623824684079224,0.2847619047619048
1878,122,93.89999999999999,6.1,0.07601727086072983,0.28207547169811326
1900,100,95.0,5.0,0.07586435510992635,0.2794392523364487
1905,95,95.25,4.75,0.07565242053571371,0.27685185185185196
1912,88,95.6,4.3999999999999995,0.07537022550244198,0.2743119266055047
1934,66,96.7,3.3000000000000003,0.0750876854688348,0.2718181818181819
1946,54,97.3,2.7,0.07467165838160907,0.26936936936936945
1931,69,96.55,3.45,0.07430568389297153,0.2669642857142858
1927,73,96.35000000000001,3.65,0.0740020293258973,0.2646017699115045
1919,81,95.95,4.05,0.07374042775993127,0.26228070175438606
1910,90,95.5,4.5,0.0734525036122469,0.26000000000000006
1901,99,95.05,4.95,0.07332923548512921,0.2577586206896552
1885,115,94.25,5.75,0.0732056246487673,0.2555555555555556
