Defectors,Cooperators,%Defectors,%Cooperators,Avg Fit,Max Fit
1765,235,88.25,11.75,0.12484805354800387,0.457142857142857
1758,242,87.9,12.1,0.12485096086901482,0.4511627906976743
1768,232,88.4,11.600000000000001,0.12480179113536112,0.4409090909090908
1768,232,88.4,11.600000000000001,0.12445260332345666,0.431111111111111
1750,250,87.5,12.5,0.12444102729132608,0.4217391304347825
1748,252,87.4,12.6,0.12456778724851442,0.41702127659574456
1746,254,87.3,12.7,0.12451138940666755,0.41249999999999987
1739,261,86.95,13.05,0.12448990969898918,0.4122448979591835
1741,259,87.05000000000001,12.950000000000001,0.12459832825126123,0.4119999999999998
1752,248,87.6,12.4,0.12448057869047423,0.41176470588235276
1744,256,87.2,12.8,0.124564165133289,0.40769230769230747
1759,241,87.94999999999999,12.049999999999999,0.12432273413076221,0.4037735849056602
1763,237,88.14999999999999,11.85,0.12439066285233415,0.39999999999999974
1753,247,87.64999999999999,12.35,0.12435915250185862,0.398181818181818
1712,288,85.6,14.399999999999999,0.12461154714601787,0.39285714285714274
1693,307,84.65,15.35,0.12517304878780192,0.3877192982456139
1699,301,84.95,15.049999999999999,0.125779756930007,0.39310344827586197
1681,319,84.05,15.950000000000001,0.12648920211520362,0.3983050847457626
1702,298,85.1,14.899999999999999,0.12698157362358425,0.3983333333333332
1720,280,86.0,14.000000000000002,0.12723065920457288,0.39344262295081955
1725,275,86.25,13.750000000000002,0.12724262109127382,0.38870967741935475
1722,278,86.1,13.900000000000002,0.12747358925766952,0.38412698412698404
1721,279,86.05000000000001,13.950000000000001,0.12763952670245365,0.3843749999999999
1725,275,86.25,13.750000000000002,0.1280994921687215,0.37999999999999995
1746,254,87.3,12.7,0.1283006018184531,0.37575757575757573
1749,251,87.45,12.55,0.12816157663743818,0.37611940298507457
1749,251,87.45,12.55,0.128111914878513,0.37647058823529406
1721,279,86.05000000000001,13.950000000000001,0.12835253242556183,0.381159420289855
1700,300,85.0,15.0,0.1286623674880903,0.38142857142857134
1675,325,83.75,16.25,0.12934396232042053,0.37746478873239425
1647,353,82.35,17.65,0.13042307058665117,0.37361111111111106
1622,378,81.10000000000001,18.9,0.13147177609802788,0.36986301369863006
1615,385,80.75,19.25,0.13249411382336132,0.37027027027027015
1590,410,79.5,20.5,0.13379410635007719,0.3714285714285712
1555,445,77.75,22.25,0.13525100787380945,0.37293233082706745
1536,464,76.8,23.200000000000003,0.13657125007449622,0.3766233766233764
1568,432,78.4,21.6,0.13770120266940544,0.38021978021978003
1552,448,77.60000000000001,22.400000000000002,0.13877738258335387,0.38155515370705223
1560,440,78.0,22.0,0.14017384636142363,0.38071428571428545
1568,432,78.4,21.6,0.1411156862047771,0.3777777777777775
1583,417,79.14999999999999,20.849999999999998,0.14182548904678682,0.37909407665505196
1591,409,79.55,20.45,0.14229246174898305,0.3783132530120479
1609,391,80.45,19.55,0.14282963209184588,0.37755102040816296
1620,380,81.0,19.0,0.14337081012451497,0.3788235294117644
1640,360,82.0,18.0,0.14380153940914134,0.3780730897009964
1612,388,80.60000000000001,19.400000000000002,0.14417873757903457,0.37733990147783225
1630,370,81.5,18.5,0.14462207920829645,0.3766233766233764
1622,378,81.10000000000001,18.9,0.14495659435714384,0.37592295345104315
1631,369,81.55,18.45,0.14527536383102324,0.377142857142857
1648,352,82.39999999999999,17.599999999999998,0.14567397843091012,0.3802197802197801
1629,371,81.45,18.55,0.1460794021120621,0.38322981366459613
1606,394,80.30000000000001,19.7,0.14670747913240434,0.3861751152073732
1596,404,79.80000000000001,20.200000000000003,0.1473176983627895,0.3872340425531914
1600,400,80.0,20.0,0.14787673144293934,0.38827067669172927
1591,409,79.55,20.45,0.14857412557164099,0.38928571428571423
1596,404,79.80000000000001,20.200000000000003,0.14900528296933277,0.39027982326951394
1615,385,80.75,19.25,0.14951121815825955,0.39300291545189503
1611,389,80.55,19.45,0.1498730935054457,0.3939393939393939
1607,393,80.35,19.650000000000002,0.1504263047066721,0.39485714285714285
1593,407,79.65,20.349999999999998,0.15110215164945226,0.3940594059405941
1597,403,79.85,20.150000000000002,0.15165014071797708,0.39495798319327735
1582,418,79.10000000000001,20.9,0.15238108653162588,0.3958391123439668
1531,469,76.55,23.45,0.15299925709601286,0.39835164835164844
1541,459,77.05,22.95,0.15379959499099524,0.40081632653061233
1550,450,77.5,22.5,0.15447594709144835,0.403234501347709
1541,459,77.05,22.95,0.155172484434091,0.40560747663551416
1535,465,76.75,23.25,0.15593009733610902,0.40793650793650804
1510,490,75.5,24.5,0.1566042082227926,0.4102228047182177
1506,494,75.3,24.7,0.15721396451787573,0.4124675324675326
1504,496,75.2,24.8,0.15809723560342492,0.41467181467181485
1514,486,75.7,24.3,0.15882021870848287,0.4168367346938777
1524,476,76.2,23.799999999999997,0.15959889028146915,0.4189633375474085
